hero_name,player_name,team_name,deaths_avg_per_1m,eliminations_avg_per_1m,final_blows_avg_per_1m,healing_avg_per_1m,hero_damage_avg_per_1m,time_played_total,ultimates_earned_avg_per_1m
overall,tobi,SEO,0.2860588048696086,1.5196874008697956,0.3396948307826602,639.8533604943718,447.23742574085,3355.953334271908,0.3039374801739591
lucio,tobi,SEO,0.2863908526374863,1.521451404636646,0.340089137507015,640.596081489162,447.7565644158379,3352.0623691678047,0.30429028092732924
symmetra,tobi,SEO,0.0,0.0,0.0,0.0,0.0,3.8909651041030884,0.0
overall,Shaz,GLA,0.3991447133435771,1.4735719920294323,0.3589792075983115,1120.5269323183272,792.9501395796266,23901.105742037296,0.5271722629066112
ana,Shaz,GLA,0.0,1.4520766640389726,0.1320069694580884,1543.9593361536201,307.010000921961,454.5214563012123,0.660034847290442
hanzo,Shaz,GLA,0.0,0.0,0.0,0.0,0.0,6.806663811206818,0.0
widowmaker,Shaz,GLA,0.0,0.0,0.0,0.0,0.0,9.745529234409332,0.0
zenyatta,Shaz,GLA,0.39411157902527244,1.491233001717247,0.37280825042931176,1107.4065622988476,823.4766206398657,22531.69019281864,0.5272573827500266
moira,Shaz,GLA,0.7346868715509848,1.0686354495287052,0.13357943119108814,1256.012294597019,287.77729758345254,898.3418998718262,0.46752800916880854
overall,uNKOE,DAL,0.47536535398786783,1.5324277858819422,0.40343507016075625,917.9943104097047,709.7526792122128,19185.243357539177,0.45972833576458266
ana,uNKOE,DAL,0.6857419335126653,0.4800193534588657,0.06857419335126654,568.8501833953685,211.78522742040658,874.9647216796875,0.34287096675633266
symmetra,uNKOE,DAL,0.6849429886814904,0.0,0.0,0.0,491.5209772418813,87.59853154420853,0.0
roadhog,uNKOE,DAL,0.26688182360456764,2.135054588836541,0.5337636472091353,339.0335287143199,415.1941984669469,224.81860768795013,0.26688182360456764
zenyatta,uNKOE,DAL,0.4673705047850328,1.5939426916922388,0.43249210890555273,927.4209168086342,749.3398369301518,17202.626005887985,0.4673705047850328
moira,uNKOE,DAL,0.4526960934116524,1.3580882802349572,0.15089869780388415,1363.0228888112852,508.6045743990022,795.2354907393456,0.5281454423135945
overall,Poko,PHI,0.35622452946955874,1.7992357590157373,0.4981105708684508,0.5730306918328338,694.3594916802024,19875.10520553589,0.39848845669476063
hanzo,Poko,PHI,0.0,0.0,0.0,0.0,0.0,3.8902353048324585,0.0
widowmaker,Poko,PHI,0.0,0.0,0.0,0.0,0.0,7.788302958011627,0.0
genji,Poko,PHI,0.0,0.0,0.0,0.0,0.0,0.9717196226119995,0.0
zarya,Poko,PHI,0.7783880947392426,1.2454209515827883,0.3113552378956971,0.0,1158.9761010033856,385.4118556380272,0.46703285684354556
